日期,天气,最低温,最高温,风向风力,是否为恶劣天气
2018年05月01日广州天气预报,雷阵雨 /雷阵雨,24℃ , 30℃,无持续风向 <3级 ,是
2018年05月02日广州天气预报,雷阵雨 /雷阵雨,23℃ , 31℃,无持续风向 <3级 ,是
2018年05月03日广州天气预报,雷阵雨 /中雨,23℃ , 30℃,无持续风向 <3级 ,是
2018年05月04日广州天气预报,中雨 /雷阵雨,22℃ , 27℃,无持续风向 <3级 ,是
2018年05月05日广州天气预报,多云 /阴,24℃ , 30℃,南风 3～4级 ,否
2018年05月06日广州天气预报,小雨-中雨 /雷阵雨,24℃ , 30℃,无持续风向 <3级 ,是
2018年05月07日广州天气预报,中雨-大雨 /中雨,22℃ , 29℃,无持续风向 <3级 ,是
2018年05月08日广州天气预报,雷阵雨 /中雨-大雨,22℃ , 26℃,无持续风向 <3级 ,是
2018年05月09日广州天气预报,中雨 /中雨,22℃ , 27℃,无持续风向 <3级 ,是
2018年05月10日广州天气预报,阵雨 /阵雨,22℃ , 26℃,无持续风向 <3级 ,否
2018年05月11日广州天气预报,阵雨 /多云,23℃ , 26℃,无持续风向 <3级 ,否
2018年05月12日广州天气预报,多云 /多云,24℃ , 29℃,无持续风向 <3级 ,否
2018年05月13日广州天气预报,多云 /多云,24℃ , 32℃,无持续风向 <3级 ,否
2018年05月14日广州天气预报,雷阵雨 /多云,24℃ , 33℃,无持续风向 <3级 ,是
2018年05月15日广州天气预报,多云 /多云,26℃ , 34℃,无持续风向 <3级 ,否
2018年05月16日广州天气预报,多云 /多云,25℃ , 34℃,无持续风向 <3级 ,否
2018年05月17日广州天气预报,多云 /多云,26℃ , 34℃,南风 3～4级 ,否
2018年05月18日广州天气预报,雷阵雨 /多云,26℃ , 34℃,无持续风向 <3级 ,是
2018年05月19日广州天气预报,多云 /多云,26℃ , 34℃,南风 3～4级 ,否
2018年05月20日广州天气预报,雷阵雨 /多云,26℃ , 34℃,微风 <3级 ,是
2018年05月21日广州天气预报,多云 /多云,26℃ , 34℃,微风 <3级 ,否
2018年05月22日广州天气预报,多云 /雷阵雨,26℃ , 34℃,微风 <3级 ,是
2018年05月23日广州天气预报,多云 /多云,26℃ , 34℃,无持续风向 微风 ,否
2018年05月24日广州天气预报,多云 /多云,27℃ , 35℃,无持续风向 1-2级 ,否
2018年05月25日广州天气预报,雷阵雨 /多云,27℃ , 35℃,南风 3-4级 ,是
2018年05月26日广州天气预报,雷阵雨 /多云,27℃ , 35℃,无持续风向 1-2级 ,是
2018年05月27日广州天气预报,晴间多云 /多云,26℃ , 35℃,无持续风向 1-2级 ,否
2018年05月28日广州天气预报,雷阵雨 /多云,26℃ , 35℃,无持续风向 <3级 ,是
2018年05月29日广州天气预报,雷阵雨 /多云,27℃ , 35℃,无持续风向 <3级 ,是
2018年05月30日广州天气预报,多云 /多云,28℃ , 35℃,无持续风向 <3级 ,否
2018年05月31日广州天气预报,雷阵雨 /雷阵雨,28℃ , 35℃,无持续风向 1-2级 ,是
2018年06月01日广州天气预报,雷阵雨 /雷阵雨,26℃ , 34℃,微风 <3级 ,是
2018年06月02日广州天气预报,雷阵雨 /雷阵雨,25℃ , 31℃,微风 <3级 ,是
